name,sku,price,description,stock_level,image_path,main_category,subcategory
Premium Interior Latex Flat,PFIP000001,40.0,優れたカバー力と隠蔽性を持つ高品質なフラット内装ペイントで、天井や通行量の少ない場所に最適です。,19,paint_&_finishes_interior_paint_premium_interior_latex_flat_20250620_192214.png,PAINT & FINISHES,INTERIOR PAINT
Interior Eggshell Paint,PFIP000002,44.0,上品な艶のある耐久性のあるエッグシェル仕上げペイントで、リビングルームや寝室に最適で、お手入れも簡単です。,80,paint_&_finishes_interior_paint_interior_eggshell_paint_20250620_192249.png,PAINT & FINISHES,INTERIOR PAINT
Interior Semi-Gloss Paint,PFIP000003,47.0,キッチン、バスルーム、トリム作業に適した、耐湿性を備えた洗えるセミグロス内装ペイントです。,2,paint_&_finishes_interior_paint_interior_semi_gloss_paint_20250620_192336.png,PAINT & FINISHES,INTERIOR PAINT
Zero VOC Interior Paint,PFIP000004,52.0,すべての居住空間で健康的な室内空気品質を保つ、環境に優しいゼロVOCペイントです。,25,paint_&_finishes_interior_paint_zero_voc_interior_paint_20250620_192411.png,PAINT & FINISHES,INTERIOR PAINT
One-Coat Interior Paint,PFIP000005,50.0,ほとんどの色を1回の塗布でカバーできる高隠蔽性のワンコートペイント処方で、作業時間を短縮します。,47,paint_&_finishes_interior_paint_one_coat_interior_paint_20250620_192445.png,PAINT & FINISHES,INTERIOR PAINT
Exterior Latex Paint Satin,PFEP000006,50.0,サイディング、トリム、屋外の表面に対応したサテン仕上げの耐候性外装ペイントです。,93,paint_&_finishes_exterior_paint_exterior_latex_paint_satin_20250620_192519.png,PAINT & FINISHES,EXTERIOR PAINT
Exterior Acrylic Paint,PFEP000007,57.0,長期間の保護のために耐退色性と優れた密着性を持つプレミアムアクリル外装ペイントです。,74,paint_&_finishes_exterior_paint_exterior_acrylic_paint_20250620_192554.png,PAINT & FINISHES,EXTERIOR PAINT
Universal Bonding Primer,PFPR000011,32.0,木材、金属、石膏ボード、塗装済み面を含むあらゆる表面に対応した高密着性プライマーです。,96,paint_&_finishes_primer_universal_bonding_primer_20250620_192814.png,PAINT & FINISHES,PRIMER
Stain-Blocking Primer,PFPR000012,40.0,水染み、クレヨンの跡、その他の変色が染み出るのを防ぐヘビーデューティープライマーです。,42,paint_&_finishes_primer_stain_blocking_primer_20250620_192849.png,PAINT & FINISHES,PRIMER
Drywall Primer,PFPR000014,29.0,優れた封止性能と素早い重ね塗り時間を持つ、新しい石膏ボード用速乾プライマーです。,42,paint_&_finishes_primer_drywall_primer_20250620_192959.png,PAINT & FINISHES,PRIMER
Synthetic Brush Set,PFBR000016,16.0,ラテックスペイントに適した、優れたペイント保持力と滑らかな仕上がりのプロフェッショナル用合成毛ブラシです。,86,paint_&_finishes_brushes_synthetic_brush_set_20250620_193107.png,PAINT & FINISHES,BRUSHES
Natural Bristle Brush Set,PFBR000017,23.0,優れた流れと均しのある、油性ペイントとステイン用の伝統的な天然毛ブラシです。,40,paint_&_finishes_brushes_natural_bristle_brush_set_20250620_193149.png,PAINT & FINISHES,BRUSHES
Angled Brush Set,PFBR000018,20.0,快適な人間工学的ハンドルを持つ、エッジの切り込みと細部作業用の精密アングルブラシです。,28,paint_&_finishes_brushes_angled_brush_set_20250620_193229.png,PAINT & FINISHES,BRUSHES
